corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
silesia	dickens	nexcomp	10192446	2344212	1.8400	55.023	429809664	5.847	67284992
silesia	mozilla	nexcomp	51220480	14301192	2.2337	227.156	1077018624	1.724	42119168
silesia	mr	nexcomp	9970564	1991857	1.5982	66.962	421294080	39.214	115744768
silesia	nci	nexcomp	33553445	1441683	0.3437	60.850	1002983424	10.145	159105024
silesia	ooffice	nexcomp	6152192	2231901	2.9023	79.922	552583168	0.653	15962112
silesia	osdb	nexcomp	10085684	2680418	2.1261	79.024	536199168	81.769	116609024
silesia	reymont	nexcomp	6627202	1024878	1.2372	35.166	321880064	6.877	49127424
silesia	samba	nexcomp	21606400	4024973	1.4903	64.092	928284672	4.212	52633600
silesia	sao	nexcomp	7251944	4366397	4.8168	62.651	491991040	58.426	81317888
silesia	webster	nexcomp	41458703	7233617	1.3958	112.476	1064980480	11.111	164962304
silesia	x-ray	nexcomp	8474240	3680912	3.4749	55.085	528437248	51.677	82071552
silesia	xml	nexcomp	5345280	386699	0.5788	17.610	234561536	4.554	35303424
silesia	total	nexcomp	211938580	45708739	1.7254	916.017	1077018624	276.209	0
silesia	dickens	xz	10192446	2831212	2.2222	41.919	145018880	0.850	11091968
silesia	mozilla	xz	51220480	13376240	2.0892	175.231	529526784	3.924	52101120
silesia	mr	xz	9970564	2751892	2.2080	37.747	150700032	0.991	10878976
silesia	nci	xz	33553445	1449272	0.3455	120.978	321556480	0.963	34455552
silesia	ooffice	xz	6152192	2427224	3.1562	13.381	123920384	0.663	7053312
silesia	osdb	xz	10085684	2844556	2.2563	25.205	159141888	0.842	10964992
silesia	reymont	xz	6627202	1315592	1.5881	22.577	125632512	0.397	7507968
silesia	samba	xz	21606400	3739524	1.3846	69.091	263012352	1.127	22519808
silesia	sao	xz	7251944	4425664	4.8822	17.511	133636096	1.137	8159232
silesia	webster	xz	41458703	8368672	1.6148	214.325	437379072	5.218	42336256
silesia	x-ray	xz	8474240	4491264	4.2399	45.633	144846848	2.937	9355264
silesia	xml	xz	5345280	434892	0.6509	28.298	112111616	0.402	6225920
silesia	total	xz	211938580	48456004	1.8291	811.896	529526784	19.451	0
silesia	dickens	bzip2	10192446	2799520	2.1973	10.723	7221248	6.875	4272128
silesia	mozilla	bzip2	51220480	17914392	2.7980	50.243	8122368	23.719	4259840
silesia	mr	bzip2	9970564	2441280	1.9588	6.234	7233536	4.330	4251648
silesia	nci	bzip2	33553445	1812734	0.4322	59.561	7196672	16.877	4243456
silesia	ooffice	bzip2	6152192	2862526	3.7223	6.172	7221248	4.008	4259840
silesia	osdb	bzip2	10085684	2802792	2.2232	11.064	7208960	6.959	4247552
silesia	reymont	bzip2	6627202	1246230	1.5044	6.621	7208960	3.212	4239360
silesia	samba	bzip2	21606400	4549759	1.6846	12.452	7221248	6.155	4276224
silesia	sao	bzip2	7251944	4940524	5.4502	6.341	7221248	3.822	4259840
silesia	webster	bzip2	41458703	8644714	1.6681	22.547	7213056	12.904	4251648
silesia	x-ray	bzip2	8474240	4051112	3.8244	3.928	7217152	3.106	4255744
silesia	xml	bzip2	5345280	441186	0.6603	3.571	7204864	1.203	4280320
silesia	total	bzip2	211938580	54506769	2.0575	199.457	8122368	93.170	0
enwik8	enwik8	nexcomp	100000000	24485454	1.9588	137.650	1251786752	11.777	186167296
enwik8	total	nexcomp	100000000	24485454	1.9588	137.650	1251786752	11.777	0
enwik8	enwik8	xz	100000000	24831648	1.9865	245.008	705466368	2.480	68055040
enwik8	total	xz	100000000	24831648	1.9865	245.008	705466368	2.480	0
enwik8	enwik8	bzip2	100000000	29008758	2.3207	18.147	7233536	11.446	4255744
enwik8	total	bzip2	100000000	29008758	2.3207	18.147	7233536	11.446	0
