corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
calgary	bib	nexcomp	111261	26521	1.9069	0.183	52277248	0.040	2412544
calgary	book1	nexcomp	768771	211441	2.2003	1.802	84881408	0.122	7303168
calgary	book2	nexcomp	610856	145713	1.9083	1.064	72085504	0.099	6135808
calgary	geo	nexcomp	102400	47983	3.7487	0.208	59674624	0.122	6443008
calgary	news	nexcomp	377109	112067	2.3774	0.620	76271616	0.073	4423680
calgary	obj1	nexcomp	21504	9590	3.5677	0.056	44179456	0.027	1560576
calgary	obj2	nexcomp	246814	63816	2.0685	0.510	76902400	0.033	1867776
calgary	paper1	nexcomp	53161	15867	2.3878	0.099	46243840	0.038	7757824
calgary	paper2	nexcomp	82199	24083	2.3439	0.145	47095808	0.038	2207744
calgary	pic	nexcomp	513216	31801	0.4957	0.750	113942528	0.593	36265984
calgary	progc	nexcomp	39611	12084	2.4405	0.078	44830720	0.038	7643136
calgary	progl	nexcomp	71646	15116	1.6879	0.122	46628864	0.027	1622016
calgary	progp	nexcomp	49379	10477	1.6974	0.084	42913792	0.027	1622016
calgary	trans	nexcomp	93695	16966	1.4486	0.139	41783296	0.028	1675264
calgary	total	nexcomp	3141622	743525	1.8934	5.860	113942528	1.305	0
calgary	bib	xz	111261	30604	2.2005	0.071	29868032	0.030	991232
calgary	book1	xz	768771	261376	2.7199	0.286	47190016	0.038	1646592
calgary	book2	xz	610856	169864	2.2246	0.231	54222848	0.034	1490944
calgary	geo	xz	102400	53168	4.1537	0.075	42283008	0.030	983040
calgary	news	xz	377109	118908	2.5225	0.161	59420672	0.031	1257472
calgary	obj1	xz	21504	9456	3.5179	0.047	29220864	0.026	901120
calgary	obj2	xz	246814	61456	1.9920	0.113	62492672	0.030	1126400
calgary	paper1	xz	53161	17292	2.6022	0.051	25575424	0.030	933888
calgary	paper2	xz	82199	27264	2.6535	0.060	24551424	0.028	962560
calgary	pic	xz	513216	39860	0.6213	0.292	45146112	0.030	1392640
calgary	progc	xz	39611	12572	2.5391	0.050	24653824	0.028	917504
calgary	progl	xz	71646	14968	1.6713	0.056	21864448	0.028	950272
calgary	progp	xz	49379	10348	1.6765	0.049	22118400	0.029	929792
calgary	trans	xz	93695	16692	1.4252	0.065	27795456	0.027	974848
calgary	total	xz	3141622	843828	2.1488	1.607	62492672	0.419	0
calgary	bib	bzip2	111261	27467	1.9750	0.037	1662976	0.029	1073152
calgary	book1	bzip2	768771	232598	2.4205	0.081	6295552	0.053	3719168
calgary	book2	bzip2	610856	157443	2.0619	0.069	5185536	0.044	3084288
calgary	geo	bzip2	102400	56921	4.4470	0.033	1597440	0.030	1032192
calgary	news	bzip2	377109	118600	2.5160	0.049	3469312	0.041	2117632
calgary	obj1	bzip2	21504	10787	4.0130	0.028	1015808	0.027	700416
calgary	obj2	bzip2	246814	76441	2.4777	0.043	2609152	0.037	1609728
calgary	paper1	bzip2	53161	16558	2.4918	0.030	1253376	0.026	839680
calgary	paper2	bzip2	82199	25041	2.4371	0.031	1462272	0.028	958464
calgary	pic	bzip2	513216	49759	0.7756	0.043	1781760	0.035	1134592
calgary	progc	bzip2	39611	12544	2.5334	0.028	1163264	0.027	786432
calgary	progl	bzip2	71646	15579	1.7396	0.031	1363968	0.027	905216
calgary	progp	bzip2	49379	10710	1.7352	0.028	1212416	0.025	815104
calgary	trans	bzip2	93695	17899	1.5283	0.035	1531904	0.028	991232
calgary	total	bzip2	3141622	828347	2.1093	0.566	6295552	0.457	0
calgary	bib	zstd	111261	31928	2.2957	0.078	3411968	0.031	1011712
calgary	book1	zstd	768771	264769	2.7552	0.273	21209088	0.029	2101248
calgary	book2	zstd	610856	173853	2.2768	0.203	20680704	0.029	1839104
calgary	geo	zstd	102400	63055	4.9262	0.050	3538944	0.029	1044480
calgary	news	zstd	377109	122696	2.6029	0.145	11157504	0.027	1499136
calgary	obj1	zstd	21504	9832	3.6577	0.031	1671168	0.027	897024
calgary	obj2	zstd	246814	70218	2.2760	0.105	6529024	0.027	1318912
calgary	paper1	zstd	53161	17621	2.6517	0.042	2437120	0.026	942080
calgary	paper2	zstd	82199	27561	2.6824	0.057	3354624	0.029	983040
calgary	pic	zstd	513216	43551	0.6789	0.316	11366400	0.028	1564672
calgary	progc	zstd	39611	12794	2.5839	0.038	2404352	0.032	921600
calgary	progl	zstd	71646	15153	1.6920	0.059	3334144	0.027	950272
