corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
silesia	dickens	nexcomp	10192446	2344212	1.8400	41.648	476758016	1.820	67244032
silesia	mozilla	nexcomp	51220480	14148900	2.2099	100.305	1169412096	24.961	244707328
silesia	mr	nexcomp	9970564	1993813	1.5998	19.085	550215680	8.843	166191104
silesia	nci	nexcomp	33553445	1441683	0.3437	41.097	1049604096	2.769	159158272
silesia	ooffice	nexcomp	6152192	2224547	2.8927	24.182	601272320	0.217	15933440
silesia	osdb	nexcomp	10085684	2638002	2.0925	22.715	605904896	12.348	166993920
silesia	reymont	nexcomp	6627202	1024878	1.2372	22.358	330485760	1.060	49147904
silesia	samba	nexcomp	21606400	3983399	1.4749	17.943	955437056	10.011	154456064
silesia	sao	nexcomp	7251944	4358150	4.8077	14.311	516067328	11.703	114868224
silesia	webster	nexcomp	41458703	7233617	1.3958	61.136	1097306112	3.009	164937728
silesia	x-ray	nexcomp	8474240	3683584	3.4774	22.485	543719424	11.884	124493824
silesia	xml	nexcomp	5345280	386699	0.5788	11.665	272793600	0.865	35307520
silesia	total	nexcomp	211938580	45461484	1.7160	398.930	1169412096	89.490	0
enwik8	enwik8	nexcomp	100000000	24485454	1.9588	153.465	1293287424	6.785	186556416
enwik8	total	nexcomp	100000000	24485454	1.9588	153.465	1293287424	6.785	0
calgary	bib	nexcomp	111261	26521	1.9069	0.342	52260864	0.064	2199552
calgary	book1	nexcomp	768771	211441	2.2003	3.165	85299200	0.213	7073792
calgary	book2	nexcomp	610856	145713	1.9083	2.087	72056832	0.169	5931008
calgary	geo	nexcomp	102400	47997	3.7498	0.267	54095872	0.275	10477568
calgary	news	nexcomp	377109	112067	2.3774	1.011	74719232	0.120	4259840
calgary	obj1	nexcomp	21504	9590	3.5677	0.079	42291200	0.037	1368064
calgary	obj2	nexcomp	246814	63816	2.0685	0.621	67706880	0.042	1687552
calgary	paper1	nexcomp	53161	15867	2.3878	0.151	46202880	0.056	7536640
calgary	paper2	nexcomp	82199	24083	2.3439	0.225	47005696	0.053	1990656
calgary	pic	nexcomp	513216	31801	0.4957	1.263	95100928	0.804	36040704
calgary	progc	nexcomp	39611	12084	2.4405	0.120	44687360	0.051	7438336
calgary	progl	nexcomp	71646	15116	1.6879	0.184	46501888	0.035	1413120
calgary	progp	nexcomp	49379	10477	1.6974	0.122	42905600	0.034	1413120
calgary	trans	nexcomp	93695	16966	1.4486	0.218	42799104	0.036	1449984
calgary	total	nexcomp	3141622	743539	1.8934	9.855	95100928	1.989	0
canterbury	alice29.txt	nexcomp	152089	40544	2.1326	0.408	53485568	0.063	2613248
canterbury	asyoulik.txt	nexcomp	125179	37486	2.3957	0.335	53596160	0.058	2277376
canterbury	cp.html	nexcomp	24603	7160	2.3282	0.089	40845312	0.044	4546560
canterbury	fields.c	nexcomp	11150	3022	2.1683	0.066	40022016	0.039	2875392
canterbury	grammar.lsp	nexcomp	3721	1189	2.5563	0.055	39354368	0.035	2134016
canterbury	kennedy.xls	nexcomp	1029744	36800	0.2859	2.014	129331200	1.863	53334016
canterbury	lcet10.txt	nexcomp	426754	99582	1.8668	1.184	66830336	0.109	4616192
canterbury	plrabn12.txt	nexcomp	481861	134699	2.2363	1.444	72134656	0.121	4980736
canterbury	ptt5	nexcomp	513216	31801	0.4957	1.134	94994432	0.724	36048896
canterbury	sum	nexcomp	38240	9904	2.0720	0.115	86642688	0.033	1421312
canterbury	xargs.1	nexcomp	4227	1646	3.1152	0.052	39374848	0.034	2162688
canterbury	total	nexcomp	2810784	403833	1.1494	6.896	129331200	3.123	0
