corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
calgary	bib	nexcomp	111261	26521	1.9069	0.456	52490240	0.167	2162688
calgary	book1	nexcomp	768771	211441	2.2003	4.598	86536192	0.757	7090176
calgary	book2	nexcomp	610856	145713	1.9083	3.088	71290880	0.599	5906432
calgary	geo	nexcomp	102400	47983	3.7487	1.090	49119232	0.933	6275072
calgary	news	nexcomp	377109	112067	2.3774	1.640	73527296	0.368	4304896
calgary	obj1	nexcomp	21504	9590	3.5677	0.275	40087552	0.113	1351680
calgary	obj2	nexcomp	246814	63970	2.0735	2.831	58109952	0.129	1769472
calgary	paper1	nexcomp	53161	15867	2.3878	0.278	45064192	0.186	7667712
calgary	paper2	nexcomp	82199	24083	2.3439	0.343	46833664	0.158	2039808
calgary	pic	nexcomp	513216	31983	0.4986	3.996	77209600	3.386	19255296
calgary	progc	nexcomp	39611	12084	2.4405	0.232	44568576	0.164	7454720
calgary	progl	nexcomp	71646	15177	1.6947	0.285	45285376	0.114	1368064
calgary	progp	nexcomp	49379	10501	1.7013	0.245	41578496	0.117	1392640
calgary	trans	nexcomp	93695	17045	1.4554	0.320	40894464	0.117	1482752
calgary	total	nexcomp	3141622	744025	1.8946	19.677	86536192	7.308	0
calgary	bib	xz	111261	30604	2.2005	0.305	29863936	0.132	999424
calgary	book1	xz	768771	261376	2.7199	2.055	47222784	0.173	1675264
calgary	book2	xz	610856	169864	2.2246	1.506	54222848	0.161	1490944
calgary	geo	xz	102400	53168	4.1537	0.308	42283008	0.138	1007616
calgary	news	xz	377109	118908	2.5225	0.932	59420672	0.147	1318912
calgary	obj1	xz	21504	9456	3.5179	0.202	29237248	0.125	901120
calgary	obj2	xz	246814	61456	1.9920	0.634	62521344	0.136	1126400
calgary	paper1	xz	53161	17292	2.6022	0.220	25575424	0.128	933888
calgary	paper2	xz	82199	27264	2.6535	0.261	24551424	0.128	991232
calgary	pic	xz	513216	39860	0.6213	1.899	45146112	0.133	1392640
calgary	progc	xz	39611	12572	2.5391	0.205	24702976	0.123	946176
calgary	progl	xz	71646	14968	1.6713	0.238	21864448	0.123	987136
calgary	progp	xz	49379	10348	1.6765	0.211	22114304	0.123	958464
calgary	trans	xz	93695	16692	1.4252	0.270	27848704	0.127	974848
calgary	total	xz	3141622	843828	2.1488	9.246	62521344	1.897	0
calgary	bib	bzip2	111261	27467	1.9750	0.146	1671168	0.132	1097728
calgary	book1	bzip2	768771	232598	2.4205	0.429	6295552	0.298	3727360
calgary	book2	bzip2	610856	157443	2.0619	0.313	5185536	0.242	3096576
calgary	geo	bzip2	102400	56921	4.4470	0.160	1605632	0.135	1081344
calgary	news	bzip2	377109	118600	2.5160	0.227	3477504	0.190	2154496
calgary	obj1	bzip2	21504	10787	4.0130	0.130	1064960	0.121	700416
calgary	obj2	bzip2	246814	76441	2.4777	0.187	2617344	0.155	1617920
calgary	paper1	bzip2	53161	16558	2.4918	0.131	1261568	0.127	847872
calgary	paper2	bzip2	82199	25041	2.4371	0.214	1470464	0.133	958464
calgary	pic	bzip2	513216	49759	0.7756	0.161	1773568	0.146	1142784
calgary	progc	bzip2	39611	12544	2.5334	0.130	1171456	0.129	786432
calgary	progl	bzip2	71646	15579	1.7396	0.136	1363968	0.129	905216
calgary	progp	bzip2	49379	10710	1.7352	0.132	1220608	0.119	823296
calgary	trans	bzip2	93695	17899	1.5283	0.145	1531904	0.131	999424
calgary	total	bzip2	3141622	828347	2.1093	2.641	6295552	2.187	0
canterbury	alice29.txt	nexcomp	152089	40544	2.1326	0.788	53833728	0.203	2600960
canterbury	asyoulik.txt	nexcomp	125179	37486	2.3957	0.611	52625408	0.185	2244608
canterbury	cp.html	nexcomp	24603	7160	2.3282	0.209	40656896	0.145	4526080
canterbury	fields.c	nexcomp	11150	3022	2.1683	0.190	38846464	0.129	2908160
canterbury	grammar.lsp	nexcomp	3721	1189	2.5563	0.183	38080512	0.120	2125824
canterbury	kennedy.xls	nexcomp	1029744	39182	0.3044	10.952	112951296	9.271	36552704
canterbury	lcet10.txt	nexcomp	426754	99582	1.8668	2.504	66203648	0.425	4554752
canterbury	plrabn12.txt	nexcomp	481861	134699	2.2363	3.346	72556544	0.651	4972544
canterbury	ptt5	nexcomp	513216	31983	0.4986	4.806	78823424	3.669	19214336
canterbury	sum	nexcomp	38240	9951	2.0818	0.515	81989632	0.115	1368064
canterbury	xargs.1	nexcomp	4227	1646	3.1152	0.175	38301696	0.119	2138112
canterbury	total	nexcomp	2810784	406444	1.1568	24.279	112951296	15.032	0
canterbury	alice29.txt	xz	152089	48528	2.5526	0.382	29216768	0.131	1089536
canterbury	asyoulik.txt	xz	125179	44592	2.8498	0.345	28065792	0.130	1003520
canterbury	cp.html	xz	24603	7652	2.4882	0.186	20541440	0.122	937984
canterbury	fields.c	xz	11150	3032	2.1754	0.153	9498624	0.144	925696
canterbury	grammar.lsp	xz	3721	1292	2.7777	0.136	5574656	0.127	909312
canterbury	kennedy.xls	xz	1029744	51868	0.4030	7.355	33845248	0.156	1945600
canterbury	lcet10.txt	xz	426754	119488	2.2399	1.108	42160128	0.143	1306624
canterbury	plrabn12.txt	xz	481861	165456	2.7469	1.397	36392960	0.154	1368064
canterbury	ptt5	xz	513216	39860	0.6213	1.957	45146112	0.139	1392640
canterbury	sum	xz	38240	9500	1.9874	0.207	25890816	0.125	917504
canterbury	xargs.1	xz	4227	1812	3.4294	0.142	7495680	0.122	880640
canterbury	total	xz	2810784	493080	1.4034	13.368	45146112	1.493	0
canterbury	alice29.txt	bzip2	152089	43202	2.2725	0.163	1949696	0.149	1236992
canterbury	asyoulik.txt	bzip2	125179	39569	2.5288	0.157	1769472	0.141	1138688
canterbury	cp.html	bzip2	24603	7624	2.4790	0.128	1056768	0.130	724992
canterbury	fields.c	bzip2	11150	3039	2.1804	0.119	962560	0.123	671744
canterbury	grammar.lsp	bzip2	3721	1283	2.7584	0.122	684032	0.117	684032
canterbury	kennedy.xls	bzip2	1029744	130280	1.0121	0.366	7200768	0.209	4243456
canterbury	lcet10.txt	bzip2	426754	107706	2.0191	0.236	3821568	0.199	2310144
canterbury	plrabn12.txt	bzip2	481861	145577	2.4169	0.264	4272128	0.226	2568192
canterbury	ptt5	bzip2	513216	49759	0.7756	0.158	1781760	0.151	1175552
canterbury	sum	bzip2	38240	12909	2.7006	0.128	1146880	0.125	774144
canterbury	xargs.1	bzip2	4227	1762	3.3348	0.118	659456	0.119	638976
canterbury	total	bzip2	2810784	542710	1.5447	1.959	7200768	1.689	0
