corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
calgary	bib	nexcomp	111261	26521	1.9069	0.513	54382592	0.092	2408448
calgary	book1	nexcomp	768771	211441	2.2003	3.959	85368832	0.270	7208960
calgary	book2	nexcomp	610856	145713	1.9083	2.296	71880704	0.185	6131712
calgary	geo	nexcomp	102400	47983	3.7487	0.314	59334656	0.246	6430720
calgary	news	nexcomp	377109	112067	2.3774	1.082	75898880	0.125	4472832
calgary	obj1	nexcomp	21504	9590	3.5677	0.083	44220416	0.039	1552384
calgary	obj2	nexcomp	246814	63816	2.0685	0.912	76529664	0.050	1835008
calgary	paper1	nexcomp	53161	15867	2.3878	0.244	45543424	0.088	7815168
calgary	paper2	nexcomp	82199	24083	2.3439	0.300	47546368	0.077	2138112
calgary	pic	nexcomp	513216	31801	0.4957	1.660	113250304	1.016	36216832
calgary	progc	nexcomp	39611	12084	2.4405	0.163	45023232	0.077	7708672
calgary	progl	nexcomp	71646	15116	1.6879	0.242	46817280	0.050	1576960
calgary	progp	nexcomp	49379	10477	1.6974	0.160	43171840	0.051	1568768
calgary	trans	nexcomp	93695	16966	1.4486	0.290	42446848	0.046	1654784
calgary	total	nexcomp	3141622	743525	1.8934	12.218	113250304	2.412	0
calgary	bib	xz	111261	30604	2.2005	0.188	29876224	0.049	1015808
calgary	book1	xz	768771	261376	2.7199	0.722	47222784	0.081	1646592
calgary	book2	xz	610856	169864	2.2246	0.582	54280192	0.074	1589248
calgary	geo	xz	102400	53168	4.1537	0.197	42291200	0.093	1011712
calgary	news	xz	377109	118908	2.5225	0.410	59473920	0.051	1310720
calgary	obj1	xz	21504	9456	3.5179	0.078	29220864	0.042	901120
calgary	obj2	xz	246814	61456	1.9920	0.209	62554112	0.048	1167360
calgary	paper1	xz	53161	17292	2.6022	0.094	25579520	0.059	1015808
calgary	paper2	xz	82199	27264	2.6535	0.163	24535040	0.054	999424
calgary	pic	xz	513216	39860	0.6213	0.552	45162496	0.061	1392640
calgary	progc	xz	39611	12572	2.5391	0.136	24670208	0.082	958464
calgary	progl	xz	71646	14968	1.6713	0.163	21929984	0.065	950272
calgary	progp	xz	49379	10348	1.6765	0.124	22159360	0.061	1011712
calgary	trans	xz	93695	16692	1.4252	0.147	27885568	0.064	983040
calgary	total	xz	3141622	843828	2.1488	3.765	62554112	0.884	0
calgary	bib	bzip2	111261	27467	1.9750	0.074	1708032	0.075	1073152
calgary	book1	bzip2	768771	232598	2.4205	0.144	6295552	0.126	3764224
calgary	book2	bzip2	610856	157443	2.0619	0.205	5230592	0.157	3092480
