# NEXCOMP benchmark corpora. corpus<TAB>file<TAB>size<TAB>sha256
# calgary:    https://corpus.canterbury.ac.nz/resources/calgary.tar.gz (standard 14 files)
# canterbury: https://corpus.canterbury.ac.nz/resources/cantrbry.tar.gz
# silesia:    https://sun.aei.polsl.pl/~sdeor/corpus/silesia.zip
# enwik8:     https://mattmahoney.net/dc/enwik8.zip
calgary	bib	111261	0f1a13936e358191533aca4a32ff42906d1b7f641f3afb0a90458b2410419fcf
calgary	book1	768771	9ffa47cd93bccd732f20e0c304203cfbc1b8a91bedac536e2d8f6051003d9951
calgary	book2	610856	c8538730cf2ce6a243acf3eb299c43d619b5c695d892f4884df796c13081fdf8
calgary	geo	102400	913ff6f45610599020c02f543a0d5a1f46cf772412e25a568b683d23db8c447d
calgary	news	377109	7f0482f9774681429eb7021050c17966f6acf19450e170de6611e1ed953d42e8
calgary	obj1	21504	8c06109caffd7e794516e4ed10095b0238ea8df63ed66840907cd4dd23e2cf72
calgary	obj2	246814	8b3e7f028bfefaebdd48a791060a1ab11d1ffd9bf27e0d63b15e58dda0deb984
calgary	paper1	53161	8d9c42d9fa58b5bce1a8b5fae3cc27c9eb7cc7a032bc12a633d44e816497e143
calgary	paper2	82199	dc4b9cf68094c632a920f4e76d0a0a8b9617b624c36928ca46a5d29798c5bbbe
calgary	pic	513216	0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650
calgary	progc	39611	151377a9d6aa9b7e872000269707a15e2b038c826340628e6f4d8b4db9ec3c19
calgary	progl	71646	9388db0cfb71ffbe5687d381819a5ff69cdd992d6931e0cf81a310a1caed0ba0
calgary	progp	49379	d0cd70ab5f7381a8584b25fa73b3608571a17ee1042cc5c546f63b904614d1bc
calgary	trans	93695	117a00c6af3e1c57f20013a8f1b468158f70634f685a348bedb7e4069cdd576a
canterbury	alice29.txt	152089	7467306ee0feed4971260f3c87421154a05be571d944e9cb021a5713700c38f0
canterbury	asyoulik.txt	125179	eaa3526fe53859f34ecdf255712f9ecf0b2c903451d4755b2edaa2e2599cb0fc
canterbury	cp.html	24603	e0cd21cef5b6c4069461e949be100080c3ce887de6f1dd8626c480528efaaf61
canterbury	fields.c	11150	85d73e354cc50cec76cb5a50537cf8dc035f8cbb8480f9e1cbe2f7d6c23393c7
canterbury	grammar.lsp	3721	1b0805dfc0ae706b35aac2bb4e15f02485efd24dda5dbd29de7b2f84d1a88c15
canterbury	kennedy.xls	1029744	9af47239ca29dfe20e633f80bbbb9a4cc9783d0803d7b2b5626f42e4c3790420
canterbury	lcet10.txt	426754	5314ba1dbb03f471df88bec6cd120a938ef60d0fd3511c5c1dce61bf7463245f
canterbury	plrabn12.txt	481861	07e2e0b461af78c7c647cb53dab39de560198e16f799b4516eccf0fbd69f764c
canterbury	ptt5	513216	0ec3a75089bb52342813496b17e51377bc9eba3cb519a444d67025354841d650
canterbury	sum	38240	ee5733cd76ecc2f9d8ff156adc3c02a7a851051dcf43a2d56ff4ee4ff606bdb3
canterbury	xargs.1	4227	c58aeb5d2d1e12751d47e7412b45784405fc30a5671b03d480fa05776e183619
silesia	dickens	10192446	b24c37886142e11d0ee687db6ab06f936207aa7f2ea1fd1d9a36763c7a507e6a
silesia	mozilla	51220480	657fc3764b0c75ac9de9623125705831ebbfbe08fed248df73bc2dc66e2a963b
silesia	mr	9970564	68637ed52e3e4860174ed2dc0840ac77d5f1a60abbcb13770d5754e3774d53e6
silesia	nci	33553445	fc63a31770947b8c2062d3b19ca94c00485a232bb91b502021948fee983e1635
silesia	ooffice	6152192	e7ee013880d34dd5208283d0d3d91b07f442e067454276095ded14f322a656eb
silesia	osdb	10085684	60f027179302ca3ad87c58ac90b6be72ec23588aaa7a3b7fe8ecc0f11def3fa3
silesia	reymont	6627202	0eac0114a3dfe6e2ee1f345a0f79d653cb26c3bc9f0ed79238af4933422b7578
silesia	samba	21606400	93ba07bc44d8267789c1d911992f40b089ffa2140b4a160fac11ccae9a40e7b2
silesia	sao	7251944	c2d0ea2cc59d4c21b7fe43a71499342a00cbe530a1d5548770e91ecd6214adcc
silesia	webster	41458703	6a68f69b26daf09f9dd84f7470368553194a0b294fcfa80f1604efb11143a383
silesia	x-ray	8474240	7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad
silesia	xml	5345280	0e82e54e695c1938e4193448022543845b33020c8be6bf3bf3ead2224903e08c
enwik8	enwik8	100000000	2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
